domain,v,p,pct,rua,ruf,sp,fo,rf,adkim,aspf,ri
RESULTS,DMARC1,none,100,mailto:SHC-RUA@stanfordmed.org,default,default,1,default,default,default,default
_dmarc.taftlaw.com.,DMARC1,none,default,mailto:3d808e19f764268@rep.dmarcanalyzer.com,mailto:3d808e19f764268@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.themyersbriggs.com.,DMARC1,quarantine,default,"mailto:domainr@themyersbriggs.com,mailto:rua+themyersbriggs.com@dmarc.barracudanetworks.com","mailto:domainr@themyersbriggs.com,mailto:ruf+themyersbriggs.com@dmarc.barracudanetworks.com",default,1,default,default,default,default
_dmarc.vivanuncios.com.mx.,DMARC1,reject,100,mailto:1551a0a1@inbox.ondmarc.com,mailto:1551a0a1@inbox.ondmarc.com,none,1,afrf,default,default,86400
_dmarc.vodacom.co.za.,DMARC1,reject,100,mailto:adeeb5c538f9684@rep.dmarcanalyzer.com,mailto:adeeb5c538f9684@for.dmarcanalyzer.com,none,1,default,default,default,default
_dmarc.wideorbit.com.,DMARC1,quarantine,default,mailto:f889b47287cf495@rep.dmarcanalyzer.com,mailto:f889b47287cf495@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.womansworld.com.,DMARC1,none,default,mailto:dtcyxout@ag.dmarcian.com,mailto:dtcyxout@fr.dmarcian.com,default,1,default,s,s,86400
_dmarc.wynnlasvegas.com.,DMARC1,quarantine,default,mailto:dmarc_rua@wynnresorts.com,mailto:dmarc_ruf@wynnresorts.com,default,1,default,default,r,default
_dmarc.advanceamerica.net.,DMARC1,none,default,"mailto:r3ctz-8397@rua.dmarc.emailanalyst.com,mailto:abuse@service.advanceamerica.net","mailto:r3ctz-8397@ruf.dmarc.emailanalyst.com,mailto:7e2e8f57@forensics.dmarc-report.com",default,1,default,r,r,default
_dmarc.aimediagroup.com.,DMARC1,quarantine,default,mailto:dmarc@aimediagroup.com,default,default,default,default,default,default,default
_dmarc.ar500armor.com.,DMARC1,none,default,mailto:deliveryfailure@ar500armor.com,default,default,default,default,default,default,default
_dmarc.awardsplatform.com.,DMARC1,reject,default,mailto:5f84ecf33c472@ag.dmarcly.com,mailto:5f84ecf33c472@fo.dmarcly.com,default,default,default,default,default,default
_dmarc.bankofchina.com.,DMARC1,quarantine,default,mailto:dmarc_hq@bank-of-china.com,mailto:dmarc_hq@bank-of-china.com,default,default,default,default,default,default
_dmarc.barilla.com.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.belfastlive.co.uk.,DMARC1,quarantine,default,mailto:dmarc@belfastlive.co.uk,default,quarantine,default,default,r,s,default
_dmarc.binti.com.,DMARC1,none,100,mailto:dmarc-reports@binti.com,default,default,1,default,default,default,default
_dmarc.book4time.com.,DMARC1,none,100,mailto:dmarc-reports@book4time.com,default,none,default,default,default,default,default
_dmarc.cheddars.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.clearoneadvantage.com.,DMARC1,none,default,mailto:silverpop@rua.agari.com,mailto:silverpop@ruf.agari.com,default,1,default,default,default,default
_dmarc.druryhotels.com.,DMARC1,none,default,mailto:dmarc.collector@druryhotels.com,mailto:dmarc.collector@druryhotels.com,default,1,default,default,default,default
_dmarc.ed2go.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.eldiariony.com.,DMARC1,none,100,mailto:postmaster@eldiariony.com,default,default,default,default,default,default,default
_dmarc.esurance.com.,DMARC1,none,default,mailto:5fd5ee16@mxtoolbox.dmarc-report.com,mailto:5fd5ee16@forensics.dmarc-report.com,default,1,default,default,default,default
_dmarc.euractiv.com.,DMARC1,none,100,"mailto:it@euractiv.com,mailto:dmarc@mailinblue.com!10m",mailto:dmarc@mailinblue.com!10m,none,default,afrf,default,default,86400
_dmarc.gaig.com.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.getweave.com.,DMARC1,reject,100,mailto:dmarc_agg@dmarc.250ok.net,mailto:dmarc_fr@dmarc.250ok.net,reject,1,afrf,default,default,default
_dmarc.glassen.net.,DMARC1,reject,default,default,default,default,default,default,default,default,default
_dmarc.gogalaxy.com.,DMARC1,none,100,mailto:re+qneukc5zqri@dmarc.postmarkapp.com,default,none,default,default,default,r,default
_dmarc.heartemail.org.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,1,default,default,default,default
_dmarc.houstontexans.com.,DMARC1,none,100,"mailto:dmarc_rua@emaildefense.proofpoint.com, mailto:dmarc_agg@dmarc.250ok.net","mailto:dmarc_ruf@emaildefense.proofpoint.com, mailto:dmarc_fr@dmarc.250ok.net",default,1,afrf,default,default,default
_dmarc.hwlochner.com.,DMARC1,reject,default,mailto:29a1ff26dcd9702@rep.dmarcanalyzer.com,mailto:29a1ff26dcd9702@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.ifortuna.cz.,DMARC1,quarantine,default,mailto:dmarc-rua@ifortuna.cz!20m,default,default,default,default,r,r,default
_dmarc.itc.sa.,DMARC1,reject,default,"mailto:itsec@itc.sa,mailto:haseen@rua.dmarc.gov.sa",mailto:itsec@itc.sa,default,1,default,default,default,default
_dmarc.jobsearcher.com.,DMARC1,reject,100,mailto:dmarc_agg@vali.email,default,reject,default,default,default,default,default
_dmarc.jrni.com.,DMARC1,none,default,mailto:dmarc@jrni.com,mailto:dmarc@jrni.com,default,default,default,default,default,default
_dmarc.knowledgehut.com.,DMARC1,quarantine,100,mailto:re+3c07258f3a70@inbound.dmarcdigests.com,default,quarantine,default,default,default,r,default
_dmarc.m3as.com.,DMARC1,none,100,mailto:dmarcrpts@m3as.com,default,default,default,default,default,default,default
_dmarc.maxis.net.my.,DMARC1,reject,default,mailto:dmarc_agg@emailfraudprotect.email,default,default,default,default,s,s,default
_dmarc.mitula.net.,DMARC1,none,default,mailto:noreply@mitula.net,mailto:noreply@mitula.net,none,default,afrf,r,r,86400
_dmarc.mnm.be.,DMARC1,none,default,"mailto:dmarc@vrt.be,mailto:tq2g6r2lsn@rua.powerdmarc.com","mailto:dmarc@vrt.be,mailto:tq2g6r2lsn@ruf.powerdmarc.com",default,default,default,default,default,default
_dmarc.monespacesante.fr.,DMARC1,quarantine,default,mailto:monespacesante.rua@emailsecurity.merox.io,default,default,default,default,default,default,default
_dmarc.ntr.nl.,DMARC1,none,default,mailto:dmarc@inbound.flowmailer.net,mailto:dmarc@inbound.flowmailer.net,default,1,default,default,default,default
_dmarc.ollama.ai.,DMARC1,none,default,mailto:3b3847745e1c420788ca5d178d0b4354@dmarc-reports.cloudflare.net,default,default,default,default,default,default,default
_dmarc.onliner.by.,DMARC1,reject,default,default,default,default,default,default,default,default,default
_dmarc.openssl.org.,DMARC1,none,default,mailto:sec@openssl.org,default,default,default,default,default,default,default
_dmarc.patheos.com.,DMARC1,none,100,"mailto:aggregate_dmarc_reports@radiantdigital.com, mailto:obwmmx9p@ag.us.dmarcian.com, mailto:aggregate_dmarcreports@dmccore.com","mailto:forensic_dmarc_reports@radiantdigital.com, mailto:obwmmx9p@fr.us.dmarcian.com, mailto:dmarcreports@dmccore.com",default,1,default,default,default,default
_dmarc.pathviewcloud.com.,DMARC1,reject,default,mailto:dmarc_agg@vali.email,default,default,default,default,default,default,default
_dmarc.pixelbin.io.,DMARC1,none,10,mailto:admin@pixelbin.io,default,default,default,default,default,default,default
_dmarc.playmobil.com.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.race-dezert.com.,DMARC1,quarantine,100,default,default,default,1,default,default,default,default
_dmarc.radishfiction.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.raehub.com.,DMARC1,reject,default,mailto:netflix@rua.netcraft.com,mailto:netflix@ruf.netcraft.com,default,1,default,default,default,default
_dmarc.sixt.de.,DMARC1,quarantine,50,mailto:dmarc@sixt.com,mailto:dmarc@sixt.com,default,default,default,r,r,default
